วันที่สอน,ระดับชั้น,ห้องเรียน,จำนวนนักเรียน,วิชา,หน่วยการเรียนรู้,เรื่องที่สอน,Mastery Score,Activity Mode,Key Issue,Major Gap,Classroom Management,Health Care Status,Health Care IDs,Remedial IDs,Next Strategy,สะท้อนคิด,วันที่บันทึก
"2026-02-09","ป.3","1","30","คณิตศาสตร์","จำนวนและการดำเนินการ","การบวกลบจำนวนไม่เกิน 1,000","3","active","นักเรียนสับสนการยืมหลัก","k-gap","เรียบร้อยดี","ไม่มี","[None]","S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13","สอนซ้ำด้วยสื่อรูปธรรม","นักเรียนหลายคนยังสับสนเรื่องการยืม","2026-02-18T10:36:12.185744+00:00"
"2026-02-09","ป.4","1","30","ภาษาไทย","การอ่าน","การอ่านจับใจความสำคัญ","4","active","[N/A]","success","เรียบร้อยดี","ไม่มี","[None]","S11,S12,S13,S14","ฝึกอ่านเพิ่มเติม","นักเรียนส่วนใหญ่จับใจความได้ดี","2026-02-18T10:36:12.185744+00:00"
"2026-02-10","ป.3","1","30","คณิตศาสตร์","จำนวนและการดำเนินการ","การบวกลบจำนวนไม่เกิน 1,000","2","active","ทำแบบฝึกหัดไม่ผ่าน","p-gap","ต้องดูแลเป็นพิเศษ","ไม่มี","[None]","S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14","ฝึกแบบ Drill ซ้ำทุกวัน","นักเรียนยังทำแบบฝึกหัดไม่ได้","2026-02-18T10:36:12.185744+00:00"
"2026-02-10","ป.4","1","30","ภาษาไทย","การอ่าน","การอ่านจับใจความสำคัญ","4","active","[N/A]","success","เรียบร้อยดี","ไม่มี","[None]","S11,S12,S13","ให้อ่านหนังสือเสริม","พัฒนาดีขึ้นจากเมื่อวาน","2026-02-18T10:36:12.185744+00:00"
"2026-02-11","ป.3","1","30","คณิตศาสตร์","จำนวนและการดำเนินการ","การบวกลบจำนวนไม่เกิน 1,000","2","constructive","ไม่เข้าใจหลักการยืม","k-gap","ต้องดูแลเป็นพิเศษ","ไม่มี","[None]","S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15","เปลี่ยนวิธีสอนใหม่ทั้งชั้น","ต้อง Pivot แล้ว นักเรียนครึ่งห้องยังไม่เข้าใจ","2026-02-18T10:36:12.185744+00:00"
"2026-02-11","ป.4","1","30","ภาษาไทย","การเขียน","การเขียนเรียงความ","3","constructive","เขียนไม่เป็นระบบ","p-gap","เรียบร้อยดี","ไม่มี","[None]","S11,S12,S13,S14,S15","ฝึกเขียนทุกวัน","เด็กบางคนเขียนเรียงความยังไม่เป็นระบบ","2026-02-18T10:36:12.185744+00:00"
"2026-02-12","ป.4","1","30","ภาษาไทย","การเขียน","การเขียนเรียงความ","4","active","[N/A]","success","เรียบร้อยดี","ไม่มี","[None]","S11,S12,S13,S14","ฝึกเขียนต่อเนื่อง","ดีขึ้นจากเมื่อวาน เขียนเป็นระบบมากขึ้น","2026-02-18T10:36:12.185744+00:00"
"2026-02-12","ป.3","1","30","คณิตศาสตร์","จำนวนและการดำเนินการ","การคูณ","4","active","[N/A]","success","เรียบร้อยดี","ไม่มี","[None]","S01,S02,S03","ฝึกต่อเนื่อง","เด็กๆ เข้าใจหลักการคูณดี","2026-02-18T10:36:12.185744+00:00"
"2026-02-13","ป.3","1","30","คณิตศาสตร์","จำนวนและการดำเนินการ","การคูณ","4","active","[N/A]","success","เรียบร้อยดี","ไม่มี","[None]","S01,S02","บันทึกเข้า Knowledge Library","ผลดีมาก นักเรียนเกือบทั้งห้องผ่าน","2026-02-18T10:36:12.185744+00:00"
"2026-02-13","ป.4","1","30","ภาษาไทย","หลักภาษา","คำราชาศัพท์","5","active","[N/A]","success","เรียบร้อยดี","ไม่มี","[None]","[N/A]","บันทึกเข้า Knowledge Library","ยอดเยี่ยม นักเรียนทั้งห้องผ่าน","2026-02-18T10:36:12.185744+00:00"
